g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	g15	g16	g17	g18	g19	g20	g21	g22	g23	g24	g25	g26	g27	g28	g29	g30	g31	g32	g33	g34	g35	
31	78	84	84	87	88	88	88	89	89	89	97	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	102	102	102	102	105	112	112	
26	43	45	48	76	76	79	79	79	82	82	82	82	82	82	82	82	82	82	82	85	85	85	85	93	94	94	94	97	97	104	104	104	105	105	
8	17	39	65	65	68	75	76	76	82	82	84	89	89	89	89	91	91	91	91	95	95	95	95	95	95	95	95	95	95	95	103	103	103	103	
29	45	52	52	72	75	75	75	82	82	83	89	89	89	89	89	89	92	92	92	92	92	92	92	95	96	96	96	96	96	96	96	104	104	104	
42	44	52	61	61	84	84	90	90	90	92	93	93	93	93	93	93	101	101	101	104	104	104	104	104	104	106	106	106	106	106	106	106	106	107	
41	42	43	45	53	60	67	67	85	85	93	99	99	99	99	102	102	102	102	102	102	102	102	102	102	102	103	103	103	103	103	103	103	103	103	
16	42	54	65	72	77	77	80	86	86	86	89	89	89	89	89	89	89	89	89	89	89	89	89	89	89	92	100	100	100	101	101	101	101	101	
9	35	66	66	73	74	82	85	89	92	92	92	92	92	98	98	98	98	98	98	98	98	104	104	104	104	104	104	104	104	104	104	104	104	104	
40	71	72	72	72	80	88	88	88	88	96	98	101	102	102	105	105	105	108	108	108	108	108	108	108	109	109	109	109	109	109	109	109	109	109	
6	27	45	45	76	76	76	76	83	83	83	84	84	84	84	84	90	90	93	99	99	99	99	99	99	107	107	107	107	107	107	107	107	107	107	
