Column,SC1,SC1,SC1,SC1,SC2,SC2,SC2,SC2,P-JXGC-3,P-JXGC-3,P-JXGC-3,P-JXGC-3,
Bpos,Target,Target,Query,Query,Target,Target,Query,Query,Target,Target,Query,Query,
ValueType,C,I,C,I,C,I,C,I,C,I,C,I,
SC1,100,100.000,100,100.000,52,98.492,52,98.492,42,97.892,53,97.892,
SC2,52,98.492,52,98.492,100,100.000,100,100.000,47,97.432,58,97.432,
P-JXGC-3,53,97.892,42,97.892,58,97.432,47,97.432,100,100.000,100,100.000,
FL17-b,97,96.293,37,96.293,4,96.111,1,96.111,,,,,
FL17-c,98,98.621,34,98.621,62,96.346,22,96.346,63,98.153,27,98.153,
gxpsy-c,89,97.831,92,97.831,44,96.383,45,96.383,41,98.467,52,98.467,
psy62-b,71,99.803,81,99.803,29,98.065,33,98.065,19,98.795,28,98.795,
TX1712-b,100,99.809,72,99.797,34,98.194,27,98.194,22,99.084,19,98.936,
TX2351-a,100,99.919,25,99.919,89,99.539,23,99.539,89,98.000,28,98.000,
YCPsy-b,93,97.875,52,97.875,17,99.629,11,99.629,8,99.941,5,99.941,
YNJS7C-b,89,97.860,87,97.860,47,97.258,45,97.258,43,96.292,52,96.293,
A4-b,46,96.012,48,96.013,90,98.283,98,98.283,43,94.999,58,95.001,
gxpsy-b,50,98.224,53,98.224,87,98.638,97,98.638,44,99.489,61,99.489,
TX2351-b,8,92.552,5,92.552,100,99.826,28,99.826,,,,,
TX2351-d,92,97.234,29,97.235,100,99.906,33,99.906,99,95.965,40,95.967,
YNJS7C-c,85,95.913,42,95.914,94,96.028,47,96.028,100,98.114,61,98.114,
TX1712-c,100,99.311,17,99.311,100,99.927,18,99.927,100,98.271,22,98.271,
TX2351-c,79,98.065,13,98.065,100,99.828,17,99.828,81,91.830,16,91.825,
YCPsy-c,100,97.800,6,97.800,100,97.800,6,97.800,99,99.801,7,99.801,
YCPsy-d,99,97.731,15,97.731,99,98.112,16,98.112,99,99.420,20,99.420,
AHCA1-a,2,93.872,4,93.872,4,96.180,6,96.180,4,98.016,7,98.016,
FL17-a,6,95.724,13,95.724,5,92.500,11,92.512,3,94.838,6,94.846,
A4-a,,,,,,,,,,,,,
gxpsy-a,,,,,,,,,,,,,
HHCA1-a,,,,,,,,,,,,,
Ishi-1-a,,,,,,,,,,,,,
JXGC-a,,,,,,,,,,,,,
psy62-c,,,,,,,,,,,,,
SGCA5-a,,,,,,,,,,,,,
TX1712-a,,,,,,,,,,,,,
YCPsy-a,,,,,,,,,,,,,
YNJS7C-a,,,,,,,,,,,,,
