genomes	A4-a.gms.out.faa	A4-b.gms.out.faa	AHCA1-a-T4.gms.out.faa	FL17-a-T4.gms.out.faa	FL17-b.gms.out.faa	FL17-c.gms.out.faa	FP2.gms.out.faa	HHCA1-a.gms.out.faa	Ishi-1-a.gms.out.faa	JXGC-a.gms.out.faa	P-HHCA1-2.gms.out.faa	P-JXGC-3.gms.out.faa	P-SGCA5-1.gms.out.faa	SC1.gms.out.faa	SC2.gms.out.faa	SGCA5-a.gms.out.faa	TX1712-a.gms.out.faa	TX1712-b.gms.out.faa	TX1712-c.gms.out.faa	TX2351-a.gms.out.faa	TX2351-b.gms.out.faa	TX2351-c.gms.out.faa	TX2351-d.gms.out.faa	YCPsy-a.gms.out.faa	YCPsy-b.gms.out.faa	YCPsy-c.gms.out.faa	YCPsy-d.gms.out.faa	YNJS7C-a.gms.out.faa	YNJS7C-b.gms.out.faa	YNJS7C-c.gms.out.faa	gxpsy-a.gms.out.faa	gxpsy-b.gms.out.faa	gxpsy-c.gms.out.faa	psy62-b.gms.out.faa	psy62-c.gms.out.faa
A4-a.gms.out.faa	100	NA	99.98	99.99	NA	NA	NA	99.94	99.96	99.99	NA	NA	NA	NA	NA	99.58	99.92	NA	NA	NA	NA	NA	NA	99.99	NA	NA	NA	99.99	NA	NA	99.88	NA	NA	NA	99.92
A4-b.gms.out.faa	NA	100	NA	NA	29.44	83.28	93.69	NA	NA	NA	95.11	87.92	77.92	79.03	93.83	NA	NA	71.76	87.12	84.12	94.88	95.19	88.69	NA	59.46	94.04	88.53	NA	72.77	88.37	NA	90.98	74.37	75.39	NA
AHCA1-a-T4.gms.out.faa	99.98	NA	100	100.00	NA	NA	NA	99.81	100.00	100.00	NA	NA	NA	NA	NA	99.61	99.92	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	100.00	NA	NA	NA	99.92
FL17-a-T4.gms.out.faa	99.99	NA	100.00	100	NA	NA	NA	99.82	100.00	100.00	NA	NA	NA	NA	NA	99.61	99.92	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	99.86	NA	NA	NA	99.92
FL17-b.gms.out.faa	NA	29.44	NA	NA	100	NA	29.19	NA	NA	NA	29.59	NA	99.95	97.04	29.19	NA	NA	97.04	NA	NA	24.49	NA	NA	NA	99.94	NA	NA	NA	99.96	NA	NA	29.59	99.77	97.06	NA
FL17-c.gms.out.faa	NA	83.28	NA	NA	NA	100	84.19	NA	NA	NA	86.96	91.72	93.73	96.75	85.50	NA	NA	98.35	98.06	98.06	NA	88.99	90.80	NA	100.00	97.92	100.00	NA	89.49	90.92	NA	86.74	98.72	96.88	NA
FP2.gms.out.faa	NA	93.69	NA	NA	29.19	84.19	100	NA	NA	NA	95.62	91.61	78.93	82.68	99.86	NA	NA	69.76	100.00	95.83	99.67	100.00	99.86	NA	63.41	94.50	97.61	NA	75.84	91.41	NA	91.43	77.53	68.51	NA
HHCA1-a.gms.out.faa	99.94	NA	99.81	99.82	NA	NA	NA	100	99.78	99.78	NA	NA	NA	NA	NA	98.97	99.61	NA	NA	NA	NA	NA	NA	99.78	NA	NA	NA	99.78	NA	NA	99.78	NA	NA	NA	99.61
Ishi-1-a.gms.out.faa	99.96	NA	100.00	100.00	NA	NA	NA	99.78	100	99.97	NA	NA	NA	NA	NA	99.61	99.92	NA	NA	NA	NA	NA	NA	99.97	NA	NA	NA	99.97	NA	NA	99.85	NA	NA	NA	99.92
JXGC-a.gms.out.faa	99.99	NA	100.00	100.00	NA	NA	NA	99.78	99.97	100	NA	NA	NA	NA	NA	99.61	99.94	NA	NA	NA	NA	NA	NA	100.00	NA	NA	NA	100.00	NA	NA	99.90	NA	NA	NA	99.94
P-HHCA1-2.gms.out.faa	NA	95.11	NA	NA	29.59	86.96	95.62	NA	NA	NA	100	94.37	82.12	81.74	95.60	NA	NA	73.06	95.94	93.17	92.54	92.91	96.12	NA	59.71	99.47	95.70	NA	77.47	95.17	NA	93.66	79.40	71.56	NA
P-JXGC-3.gms.out.faa	NA	87.92	NA	NA	NA	91.72	91.61	NA	NA	NA	94.37	100	92.61	90.82	92.17	NA	NA	87.08	97.88	94.02	NA	86.76	94.57	NA	99.44	96.66	100.00	NA	91.40	99.00	NA	93.77	92.72	79.31	NA
P-SGCA5-1.gms.out.faa	NA	77.92	NA	NA	99.95	93.73	78.93	NA	NA	NA	82.12	92.61	100	94.51	79.66	NA	NA	93.17	97.81	97.68	24.67	88.34	94.00	NA	96.78	94.14	97.56	NA	96.50	92.46	NA	78.71	96.81	87.83	NA
SC1.gms.out.faa	NA	79.03	NA	NA	97.04	96.75	82.68	NA	NA	NA	81.74	90.82	94.51	100	83.35	NA	NA	98.89	99.61	99.68	24.17	92.46	95.31	NA	92.78	95.42	97.73	NA	91.84	90.00	NA	79.96	95.63	92.79	NA
SC2.gms.out.faa	NA	93.83	NA	NA	29.19	85.50	99.86	NA	NA	NA	95.60	92.17	79.66	83.35	100	NA	NA	69.60	99.79	96.39	99.44	100.00	99.84	NA	56.04	95.42	97.58	NA	77.27	91.95	NA	91.06	78.95	69.24	NA
SGCA5-a.gms.out.faa	99.58	NA	99.61	99.61	NA	NA	NA	98.97	99.61	99.61	NA	NA	NA	NA	NA	100	99.61	NA	NA	NA	NA	NA	NA	99.61	NA	NA	NA	99.61	NA	NA	99.61	NA	NA	NA	99.61
TX1712-a.gms.out.faa	99.92	NA	99.92	99.92	NA	NA	NA	99.61	99.92	99.94	NA	NA	NA	NA	NA	99.61	100	NA	NA	NA	NA	NA	NA	99.94	NA	NA	NA	99.94	NA	NA	99.81	NA	NA	NA	100.00
TX1712-b.gms.out.faa	NA	71.76	NA	NA	97.04	98.35	69.76	NA	NA	NA	73.06	87.08	93.17	98.89	69.60	NA	NA	100	NA	100.00	33.96	89.90	91.20	NA	93.34	99.85	NA	NA	89.23	87.09	NA	75.57	95.92	98.32	NA
TX1712-c.gms.out.faa	NA	87.12	NA	NA	NA	98.06	100.00	NA	NA	NA	95.94	97.88	97.81	99.61	99.79	NA	NA	NA	100	99.82	NA	NA	100.00	NA	NA	NA	97.61	NA	96.92	96.53	NA	88.51	97.91	51.01	NA
